Metric,Previous Policy (N=200),Improved Policy - Held-Out Test (N=60),Improved Policy - Full Set (N=200),Delta (Full Set)
Escalation Accuracy,45.50%,55.00%,61.50%,+16.00%
Escalation Precision,42.13%,41.46%,46.21%,+4.08%
Escalation Recall,92.59%,85.00%,91.04%,+-1.55%
Escalation F1,0.5790,0.5574,0.6131,+0.0341
False Auto-Handles (Critical Hazard),6,3,6,0 (Safety Preserved)
False Escalations (Unnecessary),103,24,71,-32 (Major Reduction)
Intent Accuracy,76.50%,73.33%,77.00%,+0.50%
Intent Macro F1,0.7571,0.7340,0.7650,+0.0079
Automation Rate (Auto-Handled %),18.00%,31.67%,34.00%,+16.00%
